pair_id,method,status,reference_path,output_path,deltae_lip,deltae_eye,deltae_skin,deltae_avg
1,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair01_result.png,6.5904669761657715,8.61243724822998,3.8835582733154297,6.3621541659037275
1,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair01_result.png,6.929371356964111,11.951699256896973,4.595782279968262,7.825617631276448
1,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair01_vSYYZ17_vFG11.png,13.720715522766113,12.394413948059082,9.187257766723633,11.767462412516275
2,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair02_result.png,6.44669771194458,9.924505233764648,6.162389278411865,7.511197408040364
2,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair02_result.png,2.688309907913208,10.437215805053711,5.351100444793701,6.158875385920207
2,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair02_vSYYZ173_vFG122.png,3.195230007171631,3.8266239166259766,2.4192800521850586,3.1470446586608887
3,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair03_result.png,6.0128984451293945,15.341057777404785,4.568780899047852,8.640912373860678
3,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair03_result.png,7.332200527191162,2.9901914596557617,6.075368404388428,5.465920130411784
3,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair03_vSYYZ217_vFG230.png,13.890780448913574,9.924331665039062,8.918128967285156,10.911080360412598
4,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair04_result.png,5.165299415588379,6.889451026916504,4.089379787445068,5.38137674331665
4,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair04_result.png,8.258170127868652,7.514950275421143,7.703492641448975,7.82553768157959
4,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair04_vSYYZ253_vFG251.png,13.595086097717285,12.659204483032227,13.467692375183105,13.240660985310873
5,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair05_result.png,6.095125198364258,13.478520393371582,3.7713749408721924,7.781673510869344
5,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair05_result.png,5.563867568969727,8.608142852783203,2.846294641494751,5.6727683544158936
5,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair05_vSYYZ38_vFG325.png,2.6022531986236572,4.554688453674316,4.058332920074463,3.738424857457479
6,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair06_result.png,4.3075690269470215,9.548808097839355,5.720066547393799,6.525481224060059
6,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair06_result.png,9.296937942504883,14.522004127502441,6.573627948760986,10.13085667292277
6,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair06_vSYYZ48_vFG332.png,11.68038558959961,10.185651779174805,11.137615203857422,11.001217524210611
7,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair07_result.png,7.944413661956787,10.355916976928711,4.013288974761963,7.437873204549153
7,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair07_result.png,6.280052185058594,8.746798515319824,2.653614044189453,5.89348824818929
7,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair07_vSYYZ551_vFG403.png,2.7556729316711426,6.609698295593262,2.792414426803589,4.052595218022664
8,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair08_result.png,4.6100029945373535,15.919528007507324,3.398499011993408,7.976010004679362
8,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair08_result.png,6.140661239624023,8.636704444885254,1.8685694932937622,5.54864505926768
8,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair08_vSYYZ683_vFG449.png,2.3977763652801514,4.764896869659424,2.999598503112793,3.3874239126841226
9,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair09_result.png,6.940489292144775,17.075220108032227,5.848166465759277,9.954625288645426
9,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair09_result.png,7.971811294555664,3.6707687377929688,5.42747688293457,5.690018971761067
9,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair09_vSYYZ761_vFG581.png,8.00012493133545,9.191988945007324,6.650457382202148,7.947523752848308
10,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair10_result.png,5.008362293243408,6.070608615875244,7.621997356414795,6.233656088511149
10,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair10_result.png,1.4544037580490112,15.405691146850586,3.773958444595337,6.878017783164978
10,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair10_vSYYZ769_vFG587.png,7.426453113555908,11.288379669189453,3.2439308166503906,7.319587866465251
11,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair11_result.png,4.839032173156738,10.959819793701172,1.5479053258895874,5.7822524309158325
11,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair11_result.png,3.096874237060547,4.632784843444824,2.715386390686035,3.4816818237304688
11,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair11_vSYYZ790_vFG639.png,8.286282539367676,5.311403274536133,7.190816402435303,6.929500738779704
12,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair12_result.png,7.56504487991333,13.848947525024414,8.25153636932373,9.888509591420492
12,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair12_result.png,9.287336349487305,14.643887519836426,7.521560192108154,10.484261353810629
12,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair12_vSYYZ850_vFG651.png,7.829440116882324,12.637826919555664,6.840643882751465,9.10263697306315
13,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair13_result.png,1.148030400276184,21.728181838989258,4.076141357421875,8.984117865562439
13,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair13_result.png,6.039350986480713,12.071488380432129,4.319408416748047,7.476749261220296
13,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair13_vSYYZ861_vFG844.png,8.009319305419922,9.724539756774902,7.071939945220947,8.26859966913859
14,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG98.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair14_result.png,4.248112201690674,2.534360408782959,3.4569783210754395,3.4131503105163574
